key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(c)CCO,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CCO
cc(c)CCS,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CCS
cc(c)CN(C)c,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CN(C)c
cc(c)CN(c)C,,,,,,,,,,,,,,,,,,0.02076,1.0,3.0,0.0,0.0,0.875,right_only,SHAP_only,,cc(c)CN(c)C
cc(c)CNN,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CNN
cc(c)CNS,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)CNS
cc(c)CO,cc(c)CO,5.362838915470494,20.142281338170093,0.002934704902543,2.532435562436969,0.8333333333333334,0.0018587360594795,5.0,1.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9799839871897518,0.8306645316253003,0.9799839871897518,0.9302108353349346,,,,,,,left_only,STATS_only,,cc(c)CO
cc(c)COC,COCc(c)c,1.0725677830940987,1.2933744926542046,1.0,-0.0,0.1666666666666666,0.0007434944237918,2.0,6.0,4.0,1.0,Neutral_Balanced,False,0.6461168935148118,0.07606084867894315,0.6461168935148118,0.4560982119028556,,,,,,,left_only,STATS_only,,COCc(c)c
cc(c)COP,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)COP
cc(c)CSc,,,,,,,,,,,,,,,,,,0.009442,1.0,1.0,0.0,0.0,0.8389756944444444,right_only,SHAP_only,,cc(c)CSc
cc(c)Cc(c)c,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)Cc(c)c
cc(c)Cc(c)o,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)Cc(c)o
cc(c)Cc(c)s,cc(c)Cc(c)s,1.8683438802284305,2.320417853751187,0.1531322322501646,0.8149333866037777,0.2903225806451613,0.0033457249070631,9.0,14.0,8.0,1.0,Medium_StrongEnriched,False,0.77662129703763,0.6865492393915132,0.77662129703763,0.7465972778222577,,,,,,,left_only,STATS_only,,cc(c)Cc(c)s
cc(c)Cc(n)o,,,,,,,,,,,,,,,,,,0.026774,1.0,4.0,0.0,0.0,0.8836805555555556,right_only,SHAP_only,,cc(c)Cc(n)o
cc(c)Cn(c)s,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)Cn(c)s
cc(c)N(C(C)=O)C(=O)S,CC(=O)N(C(=O)S)c(c)c,0.4950312845049687,0.6497245508982036,0.8574350879598587,0.0667987482623484,0.0769230769230769,0.0003717472118959,1.0,10.0,2.0,1.0,Neutral_Balanced,False,0.45716573258606885,0.18815052041633307,0.45716573258606885,0.36749399519615694,,,,,,,left_only,STATS_only,,CC(=O)N(C(=O)S)c(c)c
cc(c)N(C)C(C)=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)N(C)C(C)=O
cc(c)N(CC)C(C)=O,cc(c)N(CC)C(C)=O,2.145135566188197,3.025877017473656,0.4513455900264954,0.3454907965553292,0.3333333333333333,0.0007434944237918,2.0,3.0,1.0,1.0,Medium_StrongEnriched,False,0.8090472377902321,0.48478783026421135,0.8090472377902321,0.7009607686148919,,,,,,,left_only,STATS_only,,cc(c)N(CC)C(C)=O
cc(c)N(CC)c(n)n,,,,,,,,,,,,,,,,,,0.00628,1.0,1.0,0.0,0.0,0.80859375,right_only,SHAP_only,,cc(c)N(CC)c(n)n
